avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240919 10:03:01,36181,,17.7192,,0.599833,230.437,318.03,52.4078,92.9091
20240919 10:04:01,36241,,19.0185,,0.271,229.281,314.536,73.3616,102.507
20240919 10:05:01,36301,,19.2003,,0.252,227.233,308.669,76.9755,128.515
20240919 10:06:01,36361,,19.2003,,0.369,227.041,307.58,82.8297,182.93
20240919 10:07:01,36421,,18.521,,0.0841667,229.793,311.096,62.9028,81.2137
20240919 10:08:01,36481,,17.9587,,0.328333,230.394,308.287,83.7036,139.838
20240919 10:09:01,36541,,18.619,,0.950167,234.804,320.086,87.8124,336.86
20240919 10:10:01,36601,,17.2198,,0.155667,235.631,314.892,69.7847,95.0443
20240919 10:11:01,36661,,18.538,,0.159667,234.704,322.129,64.9688,113.52
20240919 10:12:01,36721,,17.7813,,0.264,232.308,311.286,69.9187,142.886
20240919 10:13:01,36781,,17.309,,0.164333,233.116,314.388,70.7557,97.1373
20240919 10:14:01,36841,,18.7708,,0.446,233.975,313.168,80.0445,229.512
20240919 10:15:01,36901,,19.6395,,0.258333,235.353,314.458,70.21,127.927
20240919 10:16:01,36961,,19.199,,0.675667,232.06,314.688,85.3364,276.438
20240919 10:17:01,37021,,19.3395,,0.1125,229.34,309.659,69.6431,89.3761
20240919 10:18:01,37081,,18.6207,,0.235333,233.829,310.009,71.9616,145.499
20240919 10:19:01,37141,,17.5097,,0.150833,230.776,308.577,65.153,95.3096
20240919 10:20:01,37201,,17.1708,,0.1845,234.629,311.516,71.2028,94.5256
20240919 10:21:01,37261,,17.51,,0.459833,230.438,307.216,79.5026,265.237
20240919 10:22:01,37321,,18.4397,,1.3825,230.213,308.159,79.063,503.147
20240919 10:23:01,37381,,18.8098,,0.240167,232.53,308.6,82.192,134.511
20240919 10:24:01,37441,,17.37,,0.249,236.478,315.095,70.4128,165.464
20240919 10:25:01,37501,,16.44,,0.356667,234.811,311.111,78.9149,160.671
20240919 10:26:01,37561,,17.2303,,0.504667,231.748,308.802,84.0226,156.201
20240919 10:27:01,37621,,16.46,,0.219833,236.886,312.026,76.5678,113.827
20240919 10:28:01,37681,,17.329,,0.283167,230.638,307.948,79.7629,116.918
20240919 10:29:01,37741,,18.6798,,23.0433,227.834,303.502,62.6487,95.4612
20240919 10:30:01,37801,310.603,18.4393,73.568,118.412,232.004,317.088,63.0777,79.1252
20240919 10:31:01,37861,,18.1293,,4.18367,229.407,310.238,63.6618,313.131
20240919 10:32:01,37921,,17.8993,,0.164333,229.889,316.481,75.4424,98.1818
20240919 10:33:01,37981,,17.9613,,0.299167,232.525,314.437,71.3243,145.651
20240919 10:34:01,38041,,17.7293,,0.5355,230.768,309.249,88.5819,211.532
20240919 10:35:01,38101,,17.8092,,0.117667,233.265,325.583,63.6579,107.753
20240919 10:36:01,38161,,17.571,,0.7015,235.411,324.431,84.1562,238.522
20240919 10:37:01,38221,,18.0523,,0.346833,239.284,330.252,84.4221,126.741
20240919 10:38:01,38281,,17.3007,,0.216,237.659,320.095,75.0274,130.731
20240919 10:39:01,38341,,16.5425,,0.313333,240.015,322.807,73.3182,194.212
20240919 10:40:01,38401,,18.1188,,0.1325,238.604,323.728,66.0453,104.664
20240919 10:41:01,38461,,17.2422,,0.158167,240.992,333.819,70.9561,111.932
20240919 10:42:01,38521,,17.9525,,0.155167,235.741,325.206,66.3094,83.9815
20240919 10:43:01,38581,,18.8095,,0.304,240.626,329.032,68.3163,193.355
20240919 10:44:01,38641,,17.49,,0.147833,238.744,326.4,69.3269,117.417
20240919 10:45:01,38701,,18.1905,,0.191,237.41,324.521,78.6304,124.149
20240919 10:46:01,38761,,17.8108,,0.2195,240.02,327.172,76.0139,141.154
20240919 10:47:01,38821,,16.9303,,0.0985,237.929,322.047,62.3039,81.9735
20240919 10:48:01,38881,,16.1703,,0.150833,235.823,316.91,66.7581,84.658
20240919 10:49:01,38941,,16.3795,,0.244167,245.135,335.242,71.12,124.504
20240919 10:50:01,39001,,16.868,,0.293,237.072,325.549,74.3993,132.976
20240919 10:51:01,39061,,17.3398,,0.201833,229.331,313.032,66.726,105.349
20240919 10:52:01,39121,,16.8898,,0.216833,236.493,321.762,68.4756,116.779
20240919 10:53:01,39181,,19.8203,,0.092,235.212,328.232,63.394,83.8209
20240919 10:54:01,39241,,18.4498,,0.351167,239.355,331.762,77.3475,136.202
20240919 10:55:01,39301,,18.379,,0.246167,236.057,326.551,74.7473,126.252
20240919 10:56:01,39361,,17.6703,,0.295667,238.79,332.335,79.8998,166.427
20240919 10:57:01,39421,,17.551,,0.322333,239.773,331.787,79.0263,169.038
20240919 10:58:01,39481,,17.31,,0.419333,239.088,334.659,81.0313,164.252
20240919 10:59:01,39541,,17.27,,0.323333,243.288,332.995,78.3905,134.57
20240919 11:00:01,39601,,18.6397,,0.218333,239.998,339.822,73.1103,112.295
20240919 11:01:01,39661,,18.8995,,1.92217,239.503,335.031,92.0872,520.012
20240919 11:02:01,39721,,18.4492,,0.451,232.803,317.555,66.3582,121.759
20240919 11:03:01,39781,,18.4415,,1.251,231.795,322.201,67.3806,262.792
20240919 11:04:01,39841,,19.671,,0.840667,233.032,331.407,66.8179,113.821
20240919 11:05:01,39901,,19.5093,,0.574333,231.32,324.292,66.5644,95.1275
20240919 11:06:01,39961,,18.7107,,0.841,233.565,326.948,66.8448,93.8699
20240919 11:07:01,40021,,18.2312,,1.13267,235.922,328.613,65.369,99.9697
20240919 11:08:01,40081,,17.6008,,0.883667,233.816,322.481,64.8765,144.534
20240919 11:09:01,40141,,15.96,,0.553333,234.464,320.925,63.8807,96.4559
20240919 11:10:01,40201,,15.6208,,0.546833,241.815,328.753,63.4119,83.164
20240919 11:11:01,40261,,15.4705,,0.664,238.906,328.941,66.0154,154.641
20240919 11:12:01,40321,,16.899,,0.326333,242.109,331.627,68.9255,100.883
20240919 11:13:01,40381,,17.1997,,0.6365,238.9,331.348,70.5931,269.528
20240919 11:14:01,40441,,18.1908,,0.3715,234.708,322.385,73.7638,171.57
20240919 11:15:01,40501,,17.4693,,0.113167,233.203,320.286,60.8273,86.0615
20240919 11:16:01,40561,,16.0898,,0.292,237.543,328.918,69.3776,127.99
20240919 11:17:01,40621,,15.2688,,0.159833,239.686,327.336,68.9381,87.4012
20240919 11:18:01,40681,,15.57,,0.130333,237.178,331.905,59.3305,80.6871
20240919 11:19:01,40741,,16.0702,,0.280333,238.109,328.708,69.1165,126.299
20240919 11:20:01,40801,,15.2195,,0.367333,240.171,329.954,81.9702,147.594
20240919 11:21:01,40861,,15.41,,0.1605,243.192,336.988,67.262,120.788
20240919 11:22:01,40921,,15.3597,,0.216167,240.641,333.968,72.2873,100.775
20240919 11:23:01,40981,,15.3797,,0.419667,240.154,333.7,80.5912,134.312
20240919 11:24:01,41041,,17.2797,,0.342833,235.987,331.769,77.7398,131.408
20240919 11:25:01,41101,,14.5903,,0.287833,243.887,335.87,71.7553,122.31
20240919 11:26:01,41161,,14.6005,,0.331167,246.946,340.275,81.3782,118.725
20240919 11:27:01,41221,,14.6995,,0.148833,239.417,322.152,73.669,97.7493
20240919 11:28:01,41281,,16.1098,,0.357833,243.096,340.917,79.119,199.295
20240919 11:29:01,41341,,17.5395,,0.344833,238.773,327.081,77.6713,154.539
