avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240711 05:26:00,19560,,187.303,,1.9715,278.423,395.695,86.5219,243.392
20240711 05:27:00,19620,,,,3.03283,235.748,342.386,75.9715,154.484
20240711 05:28:00,19680,,,,4.54333,226.266,314.725,79.1741,277.856
20240711 05:29:00,19740,,108.864,,6.07283,217.951,306.457,82.3492,303.225
20240711 05:30:00,19800,,121.171,,3.64983,205.05,270.911,79.0001,263.524
20240711 05:31:00,19860,,113.05,,2.79533,208.644,271.578,76.896,181.937
20240711 05:32:00,19920,,106.516,,1.68683,249.184,367.239,77.8194,171.594
20240711 05:33:00,19980,1.70383,122.172,1.291,1.99917,258.008,375.271,79.6248,207.338
20240711 05:34:00,20040,,120.377,,1.81883,237.421,346.009,78.6251,186.056
20240711 05:35:00,20100,,136.404,,0.829,259.031,376.312,72.2307,117.529
20240711 05:36:00,20160,,,,2.68267,254.84,372.84,84.605,383.398
20240711 05:37:00,20220,,,,2.8445,247.619,365.486,82.7068,409.414
20240711 05:38:00,20280,,133.838,,1.3145,242.086,358.953,77.8813,146.97
20240711 05:39:00,20340,,128.043,,2.4185,235.482,349.591,76.8645,316.397
20240711 05:40:00,20400,,,,3.013,245.767,361.923,78.2927,418.566
20240711 05:41:00,20460,,113.914,,2.08017,256.008,370.56,78.8893,185.022
20240711 05:42:00,20520,,118.963,,1.70983,259.8,377.33,77.7984,169.078
20240711 05:43:00,20580,,120.846,,1.70067,256.788,372.649,74.266,181.698
20240711 05:44:00,20640,,,,1.62517,257.671,373.155,78.2005,181.137
20240711 05:45:00,20700,,107.285,,2.32283,245.216,355.635,77.0874,215.906
20240711 05:46:00,20760,,100.659,,1.62117,244.308,352.053,76.7804,140.961
20240711 05:47:00,20820,,112.034,,2.96317,234.102,343.814,79.1141,400.596
20240711 05:48:00,20880,,,,1.91517,222.245,322.28,84.8415,158.072
20240711 05:49:00,20940,,135.81,,2.78617,257.173,379.167,81.6963,415.437
20240711 05:50:00,21000,,140.764,,1.13767,249.154,367.463,77.6064,125.549
20240711 05:51:00,21060,,134.974,,1.69017,251.681,368.071,81.0712,239.396
20240711 05:52:00,21120,,120.291,,3.90583,246.468,360.728,85.2436,363.451
20240711 05:53:00,21180,,136.025,,1.37033,245.735,364.675,81.7207,139.684
20240711 05:54:00,21240,,128.881,,2.04883,234.752,347.204,81.1734,172.406
20240711 05:55:00,21300,,118.865,,1.5355,227.733,336.217,75.7318,153.419
20240711 05:56:00,21360,,121.403,,1.24383,241.826,362.383,75.4273,152.427
20240711 05:57:00,21420,,144.491,,1.34517,255.837,377.203,76.5988,141.867
20240711 05:58:00,21480,,128.165,,2.49517,243.037,359.799,78.6873,218.494
20240711 05:59:00,21540,,125.566,,1.83983,238.48,351.512,75.8297,140.998
20240711 06:00:00,21600,3.078,108.711,2.95783,4.5835,212.705,279.832,80.4519,247.848
20240711 06:01:00,21660,3.53717,114.716,3.04567,4.7175,209.51,279.076,80.1984,239.806
20240711 06:02:00,21720,,,5.0675,7.85167,208.101,280.134,80.4279,334.717
20240711 06:03:00,21780,6.86283,112.587,5.92433,9.18167,209.707,278.486,81.33,202.371
20240711 06:04:00,21840,,100.521,,6.99867,213.81,280.717,78.8481,209.288
20240711 06:05:00,21900,,,5.12733,7.95,215.443,281.79,80.1685,314.448
20240711 06:06:00,21960,,,4.49933,6.96967,213.937,279.472,80.698,200.12
20240711 06:07:00,22020,4.9015,95.8188,5.47933,8.4875,214.198,279.659,82.2989,260.484
20240711 06:08:00,22080,4.39433,102.829,4.09667,6.348,212.549,277.358,81.7906,218.382
20240711 06:09:00,22140,,,2.94133,4.55933,207.356,273.077,79.8965,232.618
20240711 06:10:00,22200,,106.705,,4.23383,208.907,276.893,79.2818,211.747
20240711 06:11:00,22260,3.0895,101.092,1.82483,2.82833,208.694,273.101,75.0891,157.106
20240711 06:12:00,22320,3.24733,97.4625,2.60333,4.0335,210.918,281.494,79.3949,202.961
20240711 06:13:00,22380,2.93767,107.609,2.63767,4.08717,209.394,278.267,84.8656,174.45
20240711 06:14:00,22440,3.33317,105.512,2.414,3.742,206.916,272.289,77.2906,185.007
20240711 06:15:00,22500,3.0565,105.898,2.56367,3.97233,205.835,273.461,81.1665,169.761
20240711 06:16:00,22560,,,3.751,5.812,207.52,276.263,83.1411,320.333
20240711 06:17:00,22620,,109.648,,3.25283,206.275,276.877,78.5704,184.348
20240711 06:18:00,22680,3.35916,102.803,3.0035,4.655,207.828,274.492,83.2601,187.925
20240711 06:19:00,22740,2.9105,100.561,2.18317,3.386,206.671,272.865,76.6472,196.135
20240711 06:20:00,22800,3.22567,94.6733,3.2835,5.0915,208.989,272.027,79.5895,324.525
20240711 06:21:00,22860,,,2.489,3.858,205.94,268.617,84.492,154.708
20240711 06:22:00,22920,,99.7045,,3.63567,204.597,269.259,79.0477,150.493
20240711 06:23:00,22980,3.92817,100.751,4.37133,6.77817,205.808,269.423,84.3408,293.196
20240711 06:24:00,23040,,,2.7995,4.34033,207.655,271.28,82.1979,159.39
20240711 06:25:00,23100,2.97817,103.723,2.12,3.2875,206.822,273.387,80.5566,152.804
20240711 06:26:00,23160,,101.138,,2.794,204.523,273.479,78.0906,155.164
20240711 06:27:00,23220,,,1.84883,2.86733,204.599,272.971,79.5105,141.739
20240711 06:28:00,23280,2.23767,99.1127,1.41633,2.19633,203.512,271.335,78.527,141.992
20240711 06:29:00,23340,,103.365,,5.12983,201.062,265.998,84.168,383.939
20240711 06:30:00,23400,2.37633,104.658,1.65233,2.56283,200.726,270.132,79.1652,153.259
20240711 06:31:00,23460,2.31633,106.146,1.10433,1.7115,203.012,267.431,72.7393,119.371
20240711 06:32:00,23520,,,,2.36283,205.149,270.969,76.3988,126.631
20240711 06:33:00,23580,2.909,109.064,2.304,3.573,203.851,269.465,79.9597,171.246
20240711 06:34:00,23640,,113.816,,3.0005,203.668,267.632,79.0262,175.934
20240711 06:35:00,23700,,,2.345,3.63767,204.688,268.214,79.3493,188.817
20240711 06:36:00,23760,3.15633,104.87,4.2565,6.59733,204.881,269.955,84.0854,332.433
