avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240627 03:48:00,13680,4.71617,100.251,3.65167,5.74917,266.747,350.816,78.4888,191.095
20240627 03:49:00,13740,4.669,92.6158,3.87317,6.09583,270.653,351.136,76.8075,262.058
20240627 03:50:00,13800,5.00283,92.4467,2.98117,4.693,265.432,345.148,74.2443,161.048
20240627 03:51:00,13860,5.042,96.3513,4.1635,6.555,266.536,348.879,80.096,197.974
20240627 03:52:00,13920,,,4.01933,6.3275,267.466,348.929,79.0522,254.676
20240627 03:53:00,13980,4.57083,96.8915,2.9655,4.6675,269.805,353.629,76.6794,161.475
20240627 03:54:00,14040,4.72567,92.3758,3.32283,5.234,267.059,343.888,79.5226,159.13
20240627 03:55:00,14100,4.3445,83.7027,3.17467,5.00033,257.508,334.427,79.4273,166.593
20240627 03:56:00,14160,3.87583,76.588,3.41917,5.38517,259.002,344.881,80.2917,206.072
20240627 03:57:00,14220,3.65917,60.8813,2.5035,3.94283,254.223,337.285,77.6051,175.812
20240627 03:58:00,14280,3.932,64.2003,3.483,5.48533,244.481,331.807,78.2879,259.832
20240627 03:59:00,14340,3.40817,69.4548,2.03717,3.20817,243.344,335.091,75.9221,157.231
20240627 04:00:00,14400,3.4825,68.8302,2.45,3.85883,246.9,342.191,78.088,169.385
20240627 04:01:00,14460,4.14433,62.3903,4.162,6.55233,239.848,325.356,75.7658,355.328
20240627 04:02:00,14520,,,,4.721,246.588,336.454,76.7966,188.475
20240627 04:03:00,14580,4.09017,61.0162,2.5565,4.02383,243.647,327.353,74.0063,173.37
20240627 04:04:00,14640,4.57833,62.645,3.9425,6.20833,232.363,316.171,73.7395,341.35
20240627 04:05:00,14700,3.89083,64.2238,3.94283,6.20833,232.99,330.992,79.6568,282.982
20240627 04:06:00,14760,,,3.95317,6.22467,245.137,349.245,76.4691,322.686
20240627 04:07:00,14820,4.11433,63.4978,3.8365,6.03883,245.835,338.179,76.4935,277.857
20240627 04:08:00,14880,4.67067,56.8567,3.044,4.79333,227.487,314.057,70.8338,298.401
20240627 04:09:00,14940,,53.5795,,3.94767,221.342,316.261,70.7135,208.866
20240627 04:10:00,15000,4.85183,52.9653,2.16583,3.41067,234.088,341.447,68.1409,147.165
20240627 04:11:00,15060,6.91367,55.008,3.55967,5.6055,242.516,346.168,69.4203,169.52
20240627 04:12:00,15120,6.634,50.3055,2.3575,3.71,240.763,345.405,64.8259,128.759
20240627 04:13:00,15180,6.793,53.9857,2.637,4.1505,238.444,348.238,65.0441,147.765
20240627 04:14:00,15240,7.128,44.9502,3.081,4.85067,214.467,318.636,66.4775,182.002
20240627 04:15:00,15300,,,4.36817,6.8775,239.629,357.179,67.4108,379.169
20240627 04:16:00,15360,,,3.23383,5.091,232.441,346.839,64.9678,309.772
20240627 04:17:00,15420,,,2.91417,4.58883,246.797,346.399,65.9897,309.469
20240627 04:18:00,15480,,,2.33933,3.68133,249.688,345.686,66.6477,133.93
20240627 04:19:00,15540,5.7475,50.3293,2.01733,3.175,244.389,337.871,65.6242,123.816
20240627 04:20:00,15600,4.84867,44.466,1.79833,2.83017,243.799,342.875,65.5237,140.555
20240627 04:21:00,15660,,,2.41967,3.80733,255.936,366.463,66.1634,209.455
20240627 04:22:00,15720,,,4.17967,6.579,275.847,380.411,70.6656,381.946
20240627 04:23:00,15780,5.21667,68.6277,2.47283,3.89267,266.597,368,68.424,182.182
20240627 04:24:00,15840,5.791,68.9145,4.77667,7.52,264.47,363.182,74.305,287.332
20240627 04:25:00,15900,5.0925,55.07,2.80033,4.4085,253.717,349.872,69.8633,192.209
20240627 04:26:00,15960,4.97267,58.5637,2.81017,4.426,261.418,358.708,67.8573,252.278
20240627 04:27:00,16020,5.20883,60.8682,3.9735,6.25817,264.729,365.99,72.1882,255.248
20240627 04:28:00,16080,5.28033,65.441,2.41317,3.79833,262.846,357.865,66.5662,200.389
20240627 04:29:00,16140,5.24167,60.4717,3.3875,5.334,263.218,353.923,69.3149,255.966
20240627 04:30:00,16200,4.95033,66.4972,3.31017,5.21067,271.304,362.27,72.3471,235.209
20240627 04:31:00,16260,,,2.2655,3.56783,251.809,332.272,71.9832,144.627
20240627 04:32:00,16320,4.12933,67.4987,4.01833,6.3265,250.378,340.984,74.154,338.937
20240627 04:33:00,16380,4.15467,61.9843,2.1135,3.32667,258.667,350.961,69.2488,177.513
20240627 04:34:00,16440,4.07483,76.2105,4.092,6.439,254.784,347.548,75.5503,326.85
20240627 04:35:00,16500,4.7725,62.3317,2.49167,3.92167,240.304,329.621,70.2196,173.153
20240627 04:36:00,16560,3.90367,72.9291,2.53017,3.98183,241.368,334.113,74.0862,195.591
20240627 04:37:00,16620,3.26483,75.251,1.77383,2.7925,263.557,368.455,73.5114,172.637
20240627 04:38:00,16680,,,2.80917,4.42283,262.371,365.437,75.753,218.554
20240627 04:39:00,16740,4.065,80.0627,3.38017,5.319,259.617,356.203,75.9745,276.827
20240627 04:40:00,16800,,,2.5285,3.98,259.8,349.855,72.4119,196.454
20240627 04:41:00,16860,,,2.33533,3.675,251.99,342.539,73.0271,150.066
20240627 04:42:00,16920,3.9925,66.3332,3.30783,5.20317,250.869,340.763,73.9998,312.187
20240627 04:43:00,16980,,,3.35267,5.27667,243.095,339.676,76.144,233.042
20240627 04:44:00,17040,4.12333,81.013,3.22933,5.0835,237.866,327.916,76.3263,290.15
20240627 04:45:00,17100,2.96167,87.2665,2.198,3.45933,247.223,345.456,77.1514,200.877
20240627 04:46:00,17160,,67.5258,,6.08317,253.469,348.229,82.8193,354.405
20240627 04:47:00,17220,,,2.72167,4.28583,243.676,324.403,78.4718,180.083
20240627 04:48:00,17280,43.3187,979.069,2.391,3.7645,244.581,314.685,75.8532,199.376
20240627 04:49:00,17340,3.02033,52.7612,1.95717,3.08067,240.296,313.178,75.1121,185.175
20240627 04:50:00,17400,3.24533,49.9188,2.43783,3.838,243.403,320.789,78.5836,193.073
20240627 04:51:00,17460,,51.9883,,3.37217,240.896,317.084,81.2419,179.976
20240627 04:52:00,17520,,,,2.14717,239.767,324.188,76.5067,160.833
20240627 04:53:00,17580,,39.0912,,2.92133,236.056,330.49,77.5715,240.557
20240627 04:54:00,17640,2.46267,40.8413,1.40317,2.20983,238.439,342.587,76.3753,140.91
20240627 04:55:00,17700,,37.3368,,2.0305,237.904,331.334,76.0187,163.887
20240627 04:56:00,17760,,33.6195,,4.5185,232.65,319.135,79.0501,308.39
20240627 04:57:00,17820,,27.5983,,1.36733,226.799,328.345,69.5781,108.546
20240627 04:58:00,17880,,28.3408,,2.25383,237.382,338.338,75.9591,158.116
20240627 04:59:00,17940,,34.8625,,2.0045,239.496,341.83,69.0959,152.288
20240627 05:00:00,18000,,32.28,,2.85717,233.052,327.275,71.2193,251.233
20240627 05:01:00,18060,,26.9858,,1.59233,238.655,335.858,68.8186,136.112
20240627 05:02:00,18120,,24.8818,,2.13817,234.444,321.321,70.6436,156.03
20240627 05:03:00,18180,2.3545,26.4105,1.00383,1.57967,223.649,307.334,68.3191,131.057
20240627 05:04:00,18240,,,2.093,3.294,222.488,314.597,72.9095,380.578
20240627 05:05:00,18300,,,,1.59367,237.767,329.685,68.3293,134.715
